Date,"Weekly Chicago, IL All Grades Reformulated Retail Gasoline Prices  (Dollars per Gallon)"
06-05-2000,1.99
06-12-2000,2.134
06-19-2000,2.148
06-26-2000,2.029
07-03-2000,1.829
07-10-2000,1.73
07-17-2000,1.617
07-24-2000,1.489
07-31-2000,1.391
08-07-2000,1.396
08-14-2000,1.365
08-21-2000,1.408
08-28-2000,1.446
09-04-2000,1.584
09-11-2000,1.574
09-18-2000,1.546
09-25-2000,1.536
10-02-2000,1.511
10-09-2000,1.483
10-16-2000,1.594
10-23-2000,1.555
10-30-2000,1.612
11-06-2000,1.585
11-13-2000,1.55
11-20-2000,1.581
11-27-2000,1.551
12-04-2000,1.523
12-11-2000,1.492
12-18-2000,1.462
12-25-2000,1.455
01-01-2001,1.524
01-08-2001,1.516
01-15-2001,1.607
01-22-2001,1.585
01-29-2001,1.58
02-05-2001,1.541
02-12-2001,1.564
02-19-2001,1.517
02-26-2001,1.466
03-05-2001,1.447
03-12-2001,1.414
03-19-2001,1.448
03-26-2001,1.397
04-02-2001,1.56
04-09-2001,1.684
04-16-2001,1.667
04-23-2001,1.892
04-30-2001,1.873
05-07-2001,2.011
05-14-2001,2.088
05-21-2001,2.017
05-28-2001,1.972
06-04-2001,1.934
06-11-2001,1.843
06-18-2001,1.741
06-25-2001,1.614
07-02-2001,1.479
07-09-2001,1.389
07-16-2001,1.344
07-23-2001,1.459
07-30-2001,1.41
08-06-2001,1.482
08-13-2001,1.562
08-20-2001,1.692
08-27-2001,1.822
09-03-2001,1.921
09-10-2001,1.872
09-17-2001,1.831
09-24-2001,1.77
10-01-2001,1.679
10-08-2001,1.546
10-15-2001,1.461
10-22-2001,1.358
10-29-2001,1.288
11-05-2001,1.238
11-12-2001,1.312
11-19-2001,1.276
11-26-2001,1.217
12-03-2001,1.222
12-10-2001,1.238
12-17-2001,1.143
12-24-2001,1.178
12-31-2001,1.237
01-07-2002,1.218
01-14-2002,1.134
01-21-2002,1.13
01-28-2002,1.128
02-04-2002,1.147
02-11-2002,1.122
02-18-2002,1.169
02-25-2002,1.168
03-04-2002,1.233
03-11-2002,1.315
03-18-2002,1.415
03-25-2002,1.523
04-01-2002,1.505
04-08-2002,1.606
04-15-2002,1.562
04-22-2002,1.531
04-29-2002,1.511
05-06-2002,1.535
05-13-2002,1.54
05-20-2002,1.636
05-27-2002,1.595
06-03-2002,1.617
06-10-2002,1.582
06-17-2002,1.543
06-24-2002,1.522
07-01-2002,1.511
07-08-2002,1.5
07-15-2002,1.524
07-22-2002,1.515
07-29-2002,1.58
08-05-2002,1.537
08-12-2002,1.503
08-19-2002,1.505
08-26-2002,1.549
09-02-2002,1.516
09-09-2002,1.55
09-16-2002,1.505
09-23-2002,1.549
09-30-2002,1.538
10-07-2002,1.609
10-14-2002,1.564
10-21-2002,1.629
10-28-2002,1.599
11-04-2002,1.583
11-11-2002,1.581
11-18-2002,1.505
11-25-2002,1.451
12-02-2002,1.419
12-09-2002,1.401
12-16-2002,1.417
12-23-2002,1.469
12-30-2002,1.536
01-06-2003,1.509
01-13-2003,1.539
01-20-2003,1.558
01-27-2003,1.554
02-03-2003,1.603
02-10-2003,1.672
02-17-2003,1.751
02-24-2003,1.759
03-03-2003,1.783
03-10-2003,1.822
03-17-2003,1.792
03-24-2003,1.729
03-31-2003,1.644
04-07-2003,1.624
04-14-2003,1.566
04-21-2003,1.595
04-28-2003,1.645
05-05-2003,1.553
05-12-2003,1.55
05-19-2003,1.604
05-26-2003,1.63
06-02-2003,1.594
06-09-2003,1.67
06-16-2003,1.675
06-23-2003,1.608
06-30-2003,1.568
07-07-2003,1.573
07-14-2003,1.614
07-21-2003,1.652
07-28-2003,1.583
08-04-2003,1.648
08-11-2003,1.668
08-18-2003,1.711
08-25-2003,1.874
09-01-2003,1.844
09-08-2003,1.847
09-15-2003,1.844
09-22-2003,1.762
09-29-2003,1.696
10-06-2003,1.681
10-13-2003,1.709
10-20-2003,1.702
10-27-2003,1.665
11-03-2003,1.705
11-10-2003,1.639
11-17-2003,1.603
11-24-2003,1.624
12-01-2003,1.591
